,FMON-1:P_TOTAL_SJN,FMON-2:P_TOTAL_SJN,FMON-3:P_TOTAL_SJN,FMON-4:P_TOTAL_SJN
00:00:00,10636.017,11327.297,11582.969,11421.434
00:15:00,10207.072,11190.706,11208.266,11258.835
00:30:00,10127.77,11043.86,11048.361,10944.896
00:45:00,9960.999,10775.37,10879.411,10906.603
01:00:00,9835.695,10671.815,10750.295,10891.186
01:15:00,9667.997,10571.804,10678.417,10582.059
01:30:00,9594.57,10489.75,10419.831,10543.755
01:45:00,9568.671,10295.661,10320.857,10409.943
02:00:00,9428.195,10244.167,10332.738,10279.925
02:15:00,9337.25,10075.692,10121.375,10221.299
02:30:00,9348.584,9978.846,10028.975,10215.129
02:45:00,9164.082,9872.346,9960.89,10118.229
03:00:00,9239.826,9892.633,10002.119,10131.19
03:15:00,8981.385,9849.815,9824.013,10005.124
03:30:00,9096.64,9782.538,9676.124,9941.93
03:45:00,9028.387,9627.986,9790.544,9925.492
04:00:00,9102.953,9649.413,9766.364,9901.088
04:15:00,9030.647,9616.621,9863.604,9903.058
04:30:00,9079.181,9573.852,9962.147,9981.139
04:45:00,9230.517,9709.312,10039.215,10017.186
05:00:00,9539.787,9651.653,10282.232,10408.555
05:15:00,9848.162,9542.207,10566.498,10651.328
05:30:00,10022.471,9576.13,10801.394,10745.227
05:45:00,10293.431,9558.021,10894.325,11090.367
06:00:00,10796.472,9669.951,11158.536,11423.664
06:15:00,10664.673,9343.688,11394.345,11342.055
06:30:00,10594.921,8961.308,11310.111,11257.334
06:45:00,10430.347,8997.707,11224.289,11397.735
07:00:00,10370.358,8801.862,11257.465,11057.217
07:15:00,10287.968,8906.615,11209.668,11261.88
07:30:00,10153.076,8969.861,11277.864,11074.616
07:45:00,10178.688,9092.299,11387.889,11380.499
08:00:00,10276.098,9233.807,11368.593,11179.692
08:15:00,10416.752,9495.839,11563.356,11281.457
08:30:00,10829.315,9721.574,11890.685,11635.741
08:45:00,10906.558,9841.406,11968.185,11980.694
09:00:00,11273.396,10065.159,12228.939,12194.722
09:15:00,11241.962,10381.767,12389.572,12341.629
09:30:00,11360.105,10595.758,12556.646,12560.639
09:45:00,11515.974,10530.452,12679.636,12565.307
10:00:00,11508.062,10663.987,12614.905,12837.975
10:15:00,11744.86,10840.75,12833.794,13009.486
10:30:00,11796.621,10898.02,12929.38,13144.712
10:45:00,12058.269,11249.45,13062.882,13326.469
11:00:00,12019.439,11321.688,13152.563,13407.828
11:15:00,12243.614,11250.999,13294.33,13524.958
11:30:00,12305.611,11434.044,13234.065,13581.067
11:45:00,12369.402,11506.708,13373.711,13661.512
12:00:00,12420.243,11573.281,13405.755,13722.638
12:15:00,12442.464,11646.8,13504.706,13718.46
12:30:00,12532.578,11425.463,13667.251,13763.054
12:45:00,12774.4,11607.547,13691.989,13905.253
13:00:00,12507.517,11485.338,13855.313,14015.348
13:15:00,12599.603,11510.437,13788.567,13912.712
13:30:00,12628.159,11601.224,13769.875,13937.181
13:45:00,12544.837,11655.906,13811.102,13966.721
14:00:00,12555.058,11505.355,13779.456,13845.681
14:15:00,12704.185,11456.924,13586.275,13777.1
14:30:00,12560.656,11377.223,13792.72,13916.687
14:45:00,12531.753,11341.975,13501.812,13903.739
15:00:00,12643.461,11375.268,13574.351,13909.337
15:15:00,12598.0,11394.776,13616.792,13942.545
15:30:00,12509.081,11369.448,13715.198,13966.072
15:45:00,12486.314,11125.267,13689.057,13973.57
16:00:00,12618.89,11131.904,13569.809,13820.854
16:15:00,12419.893,10990.833,13374.255,13679.88
16:30:00,12168.579,10926.3,13022.054,13443.944
16:45:00,11946.567,10904.616,12776.335,13192.395
17:00:00,11917.567,11103.763,12629.761,12723.65
17:15:00,11975.311,11041.757,12619.68,12757.802
17:30:00,11946.78,10934.214,12353.28,12710.607
17:45:00,11860.482,10965.726,12433.224,12829.603
18:00:00,12126.1,11136.046,12523.792,12952.759
18:15:00,12478.43,11500.586,13101.041,13343.845
18:30:00,13125.655,12260.078,13833.025,14072.846
18:45:00,13503.192,12776.59,14362.284,14900.729
19:00:00,13620.551,12954.973,14580.511,14983.208
19:15:00,13597.066,12844.565,14674.471,15045.467
19:30:00,13757.937,12831.161,14827.457,15047.739
19:45:00,13809.027,12956.523,14922.716,15090.467
20:00:00,13646.628,12952.596,14778.155,15167.246
20:15:00,13568.612,12956.657,14764.615,15116.2
20:30:00,13487.295,12907.865,14471.351,14925.569
20:45:00,13369.338,12956.682,14548.558,14698.97
21:00:00,13205.731,12962.547,14245.089,14444.048
21:15:00,13131.73,12815.252,14149.016,14161.772
21:30:00,12851.187,12783.403,13820.885,13926.88
21:45:00,12595.118,12735.597,13608.525,13758.944
22:00:00,12360.145,12483.652,13314.705,13499.901
22:15:00,12095.048,12420.884,13030.972,13237.707
22:30:00,11765.583,12202.975,12795.687,12737.855
22:45:00,11595.077,11929.445,12540.454,12634.635
23:00:00,11311.474,11895.475,12239.565,12387.728
23:15:00,11094.782,11615.431,12068.956,12090.581
23:30:00,10807.759,11378.569,11948.765,12030.895
23:45:00,10636.791,11277.553,11561.938,11611.349
