modified_index,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,Euclidean Barycenter
00:00:00,2107.692,2094.827,2157.867,2206.855,2268.783,2791.024,2865.057,2356.015
00:15:00,2075.762,2096.814,2064.249,2112.81,2224.854,2765.873,2796.558,2305.2742857142853
00:30:00,2043.2,1985.747,2033.866,2091.556,2201.484,2738.946,2777.962,2267.5372857142856
00:45:00,1985.963,1948.77,1990.081,2056.3,2111.892,2683.143,2734.743,2215.8417142857147
01:00:00,1966.287,1947.957,1943.961,2012.08,2109.108,2644.569,2727.512,2193.0677142857144
01:15:00,1952.162,1888.497,1912.977,1979.622,2039.422,2601.137,2656.98,2147.256714285714
01:30:00,1899.429,1879.481,1899.382,1965.143,2063.657,2608.635,2675.82,2141.6495714285716
01:45:00,1899.159,1853.609,1899.148,1949.907,2011.487,2573.488,2667.817,2122.0878571428575
02:00:00,1836.406,1854.259,1855.916,1942.201,1992.707,2528.732,2661.832,2096.0075714285713
02:15:00,1835.634,1791.224,1821.433,1891.75,1969.247,2494.367,2603.74,2058.199285714286
02:30:00,1819.713,1807.649,1814.189,1904.14,1944.132,2465.73,2593.803,2049.908
02:45:00,1816.482,1789.13,1839.709,1850.479,1916.47,2457.432,2583.541,2036.1775714285718
03:00:00,1773.891,1771.98,1783.238,1824.328,1950.219,2454.964,2548.324,2015.2777142857142
03:15:00,1799.092,1743.001,1788.417,1844.769,1889.393,2424.264,2592.903,2011.6912857142859
03:30:00,1754.511,1722.411,1757.776,1804.867,1927.462,2441.094,2530.148,1991.1812857142857
03:45:00,1733.276,1734.148,1780.157,1789.783,1898.722,2417.168,2547.892,1985.878
04:00:00,1769.98,1713.389,1718.527,1833.266,1939.802,2423.949,2519.592,1988.3578571428573
04:15:00,1741.452,1738.908,1729.239,1786.08,1878.918,2408.521,2532.676,1973.684857142857
04:30:00,1748.219,1728.491,1759.234,1816.278,1920.4,2374.547,2518.306,1980.7821428571428
04:45:00,1812.624,1790.799,1814.013,1862.077,1968.759,2441.234,2565.719,2036.4607142857146
05:00:00,1867.098,1796.153,1850.48,1891.387,1987.02,2439.591,2562.579,2056.329714285714
05:15:00,1863.313,1813.741,1836.229,1884.146,1955.913,2452.777,2586.991,2056.1585714285716
05:30:00,1900.727,1849.233,1857.657,1898.03,2029.407,2467.824,2555.064,2079.706
05:45:00,1897.286,1897.613,1908.644,1970.743,2041.809,2487.103,2585.899,2112.7281428571428
06:00:00,2070.36,1935.74,1988.618,1992.564,2141.003,2489.19,2558.885,2168.051428571429
06:15:00,2059.901,2008.576,1935.904,1981.916,2137.598,2452.58,2526.638,2157.5875714285717
06:30:00,2069.422,2024.443,1975.972,2031.642,2046.844,2405.193,2480.937,2147.779
06:45:00,1994.15,1958.017,2034.236,2061.468,2111.423,2352.413,2426.917,2134.0891428571426
07:00:00,1928.069,1962.117,1969.467,2003.474,2203.147,2316.938,2372.331,2107.9347142857146
07:15:00,1993.594,2026.563,2047.486,2024.342,2150.603,2337.806,2336.471,2130.9807142857144
07:30:00,1972.131,1966.676,2054.625,2038.219,2215.882,2359.932,2353.297,2137.2517142857146
07:45:00,2017.498,1963.842,2021.224,2044.037,2207.746,2412.667,2384.563,2150.2252857142857
08:00:00,2011.261,1929.007,2004.777,1977.476,2088.816,2549.689,2478.408,2148.4905714285715
08:15:00,2014.354,1965.496,2007.897,2056.042,2163.353,2611.172,2541.137,2194.2072857142857
08:30:00,2056.686,2029.046,2094.361,2069.23,2181.172,2701.209,2547.469,2239.8818571428574
08:45:00,2148.16,2106.905,2086.971,2106.2,2193.79,2714.115,2612.474,2281.2307142857144
09:00:00,2151.663,2126.831,2138.57,2194.513,2219.419,2812.721,2728.521,2338.891142857143
09:15:00,2190.087,2174.227,2162.838,2226.834,2225.786,2789.912,2779.93,2364.2305714285717
09:30:00,2204.312,2185.194,2207.437,2253.652,2246.754,2859.608,2689.912,2378.1241428571425
09:45:00,2217.244,2187.328,2250.247,2295.006,2279.998,2895.41,2683.998,2401.318714285714
10:00:00,2231.527,2246.378,2290.611,2317.688,2328.288,2926.283,2741.897,2440.3817142857147
10:15:00,2285.385,2296.817,2305.436,2323.189,2302.155,3003.229,2734.389,2464.371428571429
10:30:00,2353.721,2302.628,2362.27,2320.561,2331.793,3054.74,2758.112,2497.6892857142857
10:45:00,2355.371,2319.821,2367.757,2354.936,2358.96,3043.249,2830.459,2518.6504285714286
11:00:00,2346.897,2309.754,2360.09,2343.112,2361.375,3145.702,2752.071,2517.0001428571427
11:15:00,2320.982,2287.75,2398.787,2337.354,2362.456,3209.316,2884.498,2543.0204285714285
